tau;amplptb;seed;omega_m_m_2;sigma_ksi;mu_m_m;intptb;omega_b_2;mu_g;wmin;type;mu_b;sigma_e;rateptb;omega_m_e_2;rho_t;mu_m_e;mu_m_g;omega_m_g_2;int_t0;rate_t0;ampl_t0;sdmu;omega2;generation;epsilon;nsurv;ksi;meanz;varz;meang;varg;meanm_m;varm_m;meanm_g;varm_g;meanm_e;varm_e;meanb;varb;file
0.75;2;509610813;100;0.01;0;0;100;0.01;0;three_types;0;1;1.0472;100;0;0;0;100;0;1.0472;2;0.02;0.7;50000;0.0200956;1406;0.00632287;0.190338;1.13437;0.172931;0.122154;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_211943_495625147
0.25;2;645875013;100;0.01;0;0;100;0.01;0;three_types;0;1;1.0472;100;0;0;0;100;0;1.0472;2;0.02;40;50000;-0.00601835;4704;-0.00313754;-0.0790987;1.4404;-0.0551831;0.45966;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_214210_631689032
0.75;2;242642769;100;0.01;0;0;100;0.01;0;three_types;0;1;1.0472;100;0;0;0;100;0;1.0472;2;0.02;40;50000;0.0215411;4761;-0.000514373;-0.034409;1.5182;-0.0299771;0.505243;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_220559_228593800
0.25;2;948311409;100;0.01;0;0;100;0.01;0;three_types;0;1;1.15192;100;0;0;0;100;0;1.15192;2;0.02;0.7;50000;-1.61973;1170;-0.0111842;0.0323625;1.14211;0.0112692;0.125998;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_223554_933808384
0.75;2;677469162;100;0.01;0;0;100;0.01;0;three_types;0;1;1.15192;100;0;0;0;100;0;1.15192;2;0.02;0.7;50000;-1.61702;1203;0.00609865;0.0133342;1.10145;0.00688072;0.114853;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_225638_663073977
0.25;2;216430708;100;0.01;0;0;100;0.01;0;three_types;0;1;1.15192;100;0;0;0;100;0;1.15192;2;0.02;40;50000;-1.61055;4721;0.00713439;0.147225;1.50618;0.176065;0.531928;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_231718_198509990
0.75;2;537832075;100;0.01;0;0;100;0.01;0;three_types;0;1;1.15192;100;0;0;0;100;0;1.15192;2;0.02;40;50000;-1.61857;4727;0.00589693;-0.109053;1.65786;-0.0962369;0.676863;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_233729_523532218
0.25;2;903920085;100;0.01;0;0;100;0.01;0;three_types;0;1;1.25664;100;0;0;0;100;0;1.25664;2;0.02;0.7;50000;1.89726;3063;-0.00550981;-0.0870931;1.08556;-0.0860018;0.120579;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_7_11_2016_235715_889821484
0.75;2;902423215;100;0.01;0;0;100;0.01;0;three_types;0;1;1.25664;100;0;0;0;100;0;1.25664;2;0.02;0.7;50000;1.9066;3141;0.0144206;-0.0961418;1.08433;-0.0904291;0.104045;0;0;0;0;0;0;0;0;./core_4/sim_evolving_m_8_11_2016_002105_887948144
0.25;2;517912338;100;0.01;0;0;100;0.01;0;three_types;0;1;1.25664;100;0;0;0;100;0;1.25664;2;0.02;40;50000;1.90841;4909;-0.00434027;0.0956099;1.62874;0.104883;0.613321;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_7_11_2016_205920_364101564
0.75;2;625770941;100;0.01;0;0;100;0.01;0;three_types;0;1;1.25664;100;0;0;0;100;0;1.25664;2;0.02;40;50000;1.9028;4911;7.63349e-05;0.00465114;1.55354;0.0149079;0.537108;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_7_11_2016_211919_611716600
0.25;2;966944109;100;0.01;0;0;100;0.01;0;three_types;0;1;1.36136;100;0;0;0;100;0;1.36136;2;0.02;0.7;50000;-0.631061;1320;0.00881114;0.103759;1.10356;0.0949918;0.120169;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_7_11_2016_221426_938102746
0.75;2;931552155;100;0.01;0;0;100;0.01;0;three_types;0;1;1.36136;100;0;0;0;100;0;1.36136;2;0.02;0.7;50000;-0.597079;1305;-0.00351528;0.10303;1.13055;0.0779035;0.117455;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_7_11_2016_231312_917069589
0.25;2;545069590;100;0.01;0;0;100;0.01;0;three_types;0;1;1.36136;100;0;0;0;100;0;1.36136;2;0.02;40;50000;-0.600831;4747;-6.28848e-05;-0.0291781;1.51399;-0.044553;0.510894;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_7_11_2016_234435_530826579
0.75;2;894082325;100;0.01;0;0;100;0.01;0;three_types;0;1;1.36136;100;0;0;0;100;0;1.36136;2;0.02;40;50000;-0.617667;4715;-0.00368596;0.0373982;1.4697;0.037013;0.518286;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_8_11_2016_000548_879928296
0.25;2;334001426;100;0.01;0;0;100;0.01;0;three_types;0;1;1.46608;100;0;0;0;100;0;1.46608;2;0.02;0.7;50000;-1.18182;1233;-0.0111359;-0.00130674;1.14056;-0.0169972;0.1181;0;0;0;0;0;0;0;0;./core_5/sim_evolving_m_8_11_2016_002655_319600557
